"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"KOZAK ROBERT","Primaria","VICEPRIMAR","Abramut","Bihor","06.11.2020","Declaratie de avere"
"BARCUI BARNA","Primaria","PRIMAR","Abramut","Bihor","06.11.2020","Declaratie de avere"
"BLASKO MARIA MAGDOLNA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"BISTRAN IUTKA ELISABETA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"KOVACS MARTA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"CSILIK PIROSKA MARGIT","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"TOROK ERZSEBET MARIA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"TOTH IANOS","Primaria","CONSILIER","Abramut","Bihor","06.11.2020","Declaratie de avere"
"MAIOR GHEORGHE","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"PUSCAS LUCIA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"PINTER ATTILA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"ZELINA KAROLY","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"PAP MIRCEA","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"CHECICHEIS IONEL","Primaria","CONSILIER LOCAL","Abramut","Bihor","06.11.2020","Declaratie de avere"
"NOZAK ROBERT","Primarii","VICEPRIMAR","Abramut","Bihor","04.12.2020","Declaratie de avere"
"BARCUI BARNA","Primarii","PRIMAR","Abramut","Bihor","03.12.2020","Declaratie de avere"
"BLASKO MARIA MAGDOLNA","Primarii","CONSILIER LOCAL","Abramut","Bihor","04.12.2020","Declaratie de avere"
"BISTRAN IUTKA ELISABETA","Primarii","NECOMPLETAT","Abramut","Bihor","03.12.2020","Declaratie de avere"
"MARETKA LASZLO","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"CSILIK PIROSKA MARGIT","Primarii","CONSILIER LOCAL","Abramut","Bihor","04.12.2020","Declaratie de avere"
"BAROTHY BELA GYORGY","Primarii","CONSILIER LOCAL","Abramut","Bihor","04.12.2020","Declaratie de avere"
"KOVACS MARTA","Primarii","CONSILIER LOCAL","Abramut","Bihor","04.12.2020","Declaratie de avere"
"VERES MARTA EMESE","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"BALOG MARIA ELENA","Primarii","CONSILIER LOCAL","Abramut","Bihor","04.12.2020","Declaratie de avere"
"TOROK ERZSEBET MARIA","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"CORPAS MARIUS FLORIN","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"MAIOR GHEORGHE","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"PUSCAS LUCIA","Primarii","CONSILIER LOCAL","Abramut","Bihor","03.12.2020","Declaratie de avere"
"SILAGHI DOREL NICUSOR","Primarii","VICEPRIMAR","Abram","Bihor","10.11.2020","Declaratie de avere"
"NUTAS GABRIEL OCTAVIAN","Primarii","PRIMAR","Abram","Bihor","15.11.2020","Declaratie de avere"
"BALOGH ISTVAN CSABI","Primarii","CONSILIER LOCAL","Abram","Bihor","11.11.2020","Declaratie de avere"
"PRITEA DAN SORIN","Primarii","CONSILIER LOCAL","Abram","Bihor","18.11.2020","Declaratie de avere"
"DUMA IOAN","Primarii","CONSILIER","Abram","Bihor","10.11.2020","Declaratie de avere"
"POP CLAUDIU","Primarii","CONSILIER LOCAL","Abram","Bihor","11.11.2020","Declaratie de avere"
"RUGEA DORIN TEOFIL","Primarii","CONSILIER LOCAL","Abram","Bihor","10.11.2020","Declaratie de avere"
"POP LAJOS","Primarii","CONSILIER LOCAL","Abram","Bihor","11.11.2020","Declaratie de avere"
"POP NISTOR","Primarii","CONSILIER","Abram","Bihor","18.11.2020","Declaratie de avere"
