first_name,last_name,functions,declaration_type,investments,assets,vehicles,debts,salary
Becali,George,OM DE AFACERI,DECLARATIE DE AVERE,1151257495 EUR,100300000 EUR,[Mercedes 2005 Maybach 2005 Audi 2005],0,0
Becali,George,Deputat Parlamentul ROMANIEI,DECLARATIE DE AVERE,46341175784 EUR,3000000 EUR,[Mercedes 2005 Maybach 2005 Audi 2005 BMW 2008],0,0
Ciolos,Dacian,candidat europarlamentar la Parlamentul European,DECLARATIE DE AVERE,160119 EUR,No Assets,No Vehicles,0,0
Ciolos,Dacian,europarlamentar la Parlamentul European,DECLARATIE DE AVERE,390107 EUR,No Assets,Nissan Qashqai 2008,0,83860 EUR
Ciolos,Dacian,europarlamentar la Parlamentul European,DECLARATIE DE AVERE,257866 EUR,No Assets,Nissan Qashqai 2008,0,84940 EUR
Dragnea,Liviu,Deputat la Parlamentul Romaniei - Presedinte Camera Deputatilor,DECLARATIE DE AVERE,592120 LEI,No Assets,[SKODA SUPERB 2006 BMW X5 2009],0,76838 EUR
Dragnea,Liviu,Deputat la Parlamentul Romaniei - Presedinte Camera Deputatilor,DECLARATIE DE AVERE,653206 LEI,No Assets,[SKODA SUPERB 2006 BMW X5 2009],0,161912 LEI
Dragnea,Liviu,Deputat la Parlamentul Romaniei - Presedinte Camera Deputatilor,DECLARATIE DE AVERE,725879 LEI,No Assets,[SKODA SUPERB 2006 BMW X5 2009],0,153384 LEI
Draghici, Mircea Gheorghe,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,127318 LEI,65000 EUR,[MERCEDES 2016 MERCEDES 2016],570000 LEI,145024 LEI
Draghici, Mircea Gheorghe,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,1076544 LEI,426432 LEI,[MERCEDES 2016],1080200 LEI,140040 LEI
Draghici, Mircea Gheorghe,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,101414 LEI,998642 LEI,[DACIA 2017],500000 LEI,150072 LEI
Draghici, Mircea Gheorghe,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,101414 LEI,530300 LEI,[DACIA 2017],500000 LEI,150072 LEI
Dragnea,Liviu,Viceprim-Ministru,DECLARATIE DE AVERE,1458068 LEI,No Assets,[DACIA LOGAN 2008 SKODA SUPERB 2006],0,57576 LEI
Hunor,Kelemen,candidat la functia de deputat,DECLARATIE DE AVERE,280947 LEI,30000 LEI,FORD FIESTA 2004,0,149410 LEI
Hunor,Kelemen,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,110574 LEI,30000 LEI,FORD FIESTA 2004,260000 LEI,125351 LEI
Hunor,Kelemen,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,111916 LEI,30000 LEI,FORD FIESTA 2004,213064 LEI,174724 LEI
Hunor,Kelemen,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,181383 LEI,30000 LEI,FORD FIESTA 2004,162610 LEI,222636 LEI
Hunor,Kelemen,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,353117 LEI,64375 LEI,FORD FIESTA 2004,93675 LEI,257547 LEI
Ponta,Victor Viorel,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,1367933 LEI,26500 EUR,MERCEDES-BENZ 2011,22788 EUR,126328 LEI
Ponta,Victor Viorel,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,1379904 LEI,No Assets,MERCEDES-BENZ 2011,22788 EUR,57633 LEI
Ponta,Victor Viorel,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,2314607 LEI,1210624 LEI,[MERCEDES-BENZ 2011 KIA SORENTO],22788 EUR,87087 LEI
Ponta,Victor Viorel,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,2314607 LEI,1075000 LEI,LEXUS 2015,22788 EUR,119135 LEI
Ponta,Victor Viorel,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,1475595 LEI,1250000 LEI,MERCEDES-BENZ 2014,22788 EUR,119135 LEI
Mazare,Radu Stefan,Primar la Municipiul Constanta,DECLARATIE DE AVERE,6277369 LEI,No Assets,[SALUPA MOTOR BAYLINER 2001 REMORCA PERIDO 2001 JEEP WILLYS 1968 JAGUAR TYPE E SIRIE III 5.3 CABRIO 1974],0,32235 LEI
Drula,Catalin,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,256553 LEI,No Assets,[BMW 2012],3000 LEI,51416 LEI
Drula,Catalin,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,284488 LEI,No Assets,[BMW 2012],0,94686 LEI
Drula,Catalin,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,302821 LEI,No Assets,[BMW 2012],0,129102 LEI
Drula,Catalin,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,566113 LEI,No Assets,[BMW 2012],0,141636 LEI
Dumitrache,Ileana-Cristina,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,134217 LEI,397000 EUR,No Vehicles,0,64812 LEI
Dumitrache,Ileana-Cristina,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,153076 LEI,397000 EUR,No Vehicles,0,87324 LEI
Dumitrache,Ileana-Cristina,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,161551 LEI,397000 EUR,No Vehicles,0,120036 LEI
Dumitrache,Ileana-Cristina,Deputat la CAMERA DEPUTATILOR,DECLARATIE DE AVERE,424515 LEI,561000 EUR,No Vehicles,0,131412 LEI
