full_name, total_assets
Becali-George, 1251557495, 
Becali-George, 46344175784, 
Ciolos-Dacian, 160119, 
Ciolos-Dacian, 473967, 
Ciolos-Dacian, 342806, 
Dragnea-Liviu, 195262, 
Dragnea-Liviu, 163023, 
Dragnea-Liviu, 175851, 
Draghici- Mircea Gheorghe, 5467, 
Draghici- Mircea Gheorghe, 112562, 
Draghici- Mircea Gheorghe, 150024, 
Draghici- Mircea Gheorghe, 56356, 
Dragnea-Liviu, 303128, 
Hunor-Kelemen, 92071, 
Hunor-Kelemen, 1184, 
Hunor-Kelemen, 20715, 
Hunor-Kelemen, 54281, 
Hunor-Kelemen, 116272, 
Ponta-Victor Viorel, 302563, 
Ponta-Victor Viorel, 264718, 
Ponta-Victor Viorel, 699674, 
Ponta-Victor Viorel, 678960, 
Ponta-Victor Viorel, 546158, 
Mazare-Radu Stefan, 1261920, 
Drula-Catalin, 60993, 
Drula-Catalin, 75834, 
Drula-Catalin, 86384, 
Drula-Catalin, 141549, 
Dumitrache-Ileana-Cristina, 436805, 
Dumitrache-Ileana-Cristina, 445079, 
Dumitrache-Ileana-Cristina, 453317, 
Dumitrache-Ileana-Cristina, 672185, 
Dunava-Costel Neculai, -15936, 
Dunava-Costel Neculai, -15462, 
Dunava-Costel Neculai, -26602, 
Dunava-Costel Neculai, -108790, 
Durbaca-Eugen, 59783, 
Durbaca-Eugen, 57616, 
Durbaca-Eugen, 58380, 
Durbaca-Eugen, 61378, 
Durbaca-Eugen, 66518, 
Florea-Damian, 834146, 
Florea-Damian, 905312, 
Florea-Damian, 957894, 
Florea-Damian, 1004848, 
Florea-Damian, 1063493, 
Ghilea-Gavrila, 553271, 
Ghilea-Gavrila, 553271, 
