"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"MAXIM C. VASILE","Agentia De Plati Si Interventie Pentru Agricultura","Consilier superior","Radaseni","Suceava","09.06.2022","Declaraţie de avere"
"APOSTOL G Severin","Comuna Radaseni","Consilier local","Radaseni","Suceava","17.06.2022","Declaraţie de avere"
"HRITCU D ROBERT-SORIN","Municipiul Falticeni","Politist local","Radaseni","Suceava","29.05.2022","Declaraţie de avere"
"IOANI T DANIELA","Unitatea Militara Nr.01836","Șef birou","Radaseni","Suceava","14.06.2022","Declaraţie de avere"
"PAVĂL C Andrei","Unitatea Militară 02053 Constanța","Comandant serviciu de lupta","Radaseni","Suceava","10.04.2022","Declaraţie de avere"
"CHIRIAC N Andreea","Comuna Radaseni","Inspector debutant","Radaseni","Suceava","06.06.2022","Declaraţie de avere"
"AIOANEI V. Oana-Vasilica","Comuna Radaseni","Consilier Principal","Radaseni","Suceava","07.06.2022","Declaraţie de avere"
"GRIGORESCU I. Dan-Iulian","Comuna Radaseni","Inspector principal","Radaseni","Suceava","06.06.2022","Declaraţie de avere"
"DIACONU P Pachița","Comuna Radaseni","Consilier","Radaseni","Suceava","09.06.2022","Declaraţie de avere"
"APOSTOL G Severin","Comuna Radaseni","Consilier local","Radaseni","Suceava","15.06.2022","Declaraţie de avere"
"ȘOLDĂNESCU I Nicolae","Comuna Radaseni","Consilier local","Radaseni","Suceava","15.06.2022","Declaraţie de avere"
"URSACHE G Toader","Comuna Radaseni","Consilier local","Radaseni","Suceava","14.06.2022","Declaraţie de avere"
"BUHLEA G Gheorghiță","Comuna Radaseni","Consilier local","Radaseni","Suceava","14.06.2022","Declaraţie de avere"
"MARIA V Petru","Comuna Radaseni","Consilier local","Radaseni","Suceava","08.06.2022","Declaraţie de avere"
"AMARIEI V Ionel","Comuna Radaseni","Consilier local","Radaseni","Suceava","09.06.2022","Declaraţie de avere"
"TUDOSĂ I. Vasile","Comuna Radaseni","Consilier local","Radaseni","Suceava","26.05.2022","Declaraţie de avere"
"PINTILIE P Pavel","Comuna Radaseni","Consilier local","Radaseni","Suceava","08.06.2022","Declaraţie de avere"
"Gavriloaia P. Gelu","U.m. Nr. 01971","Locțiitor comandant","Radaseni","Suceava","14.06.2022","Declaraţie de avere"
"ȘOLDĂNESCU N VASILE","Unitatea Militara 01932","Comandant pluton","Radaseni","Suceava","06.06.2022","Declaraţie de avere"
"LUNGU G CONSTANTIN","Agentia De Plati Si Interventie Pentru Agricultura - Centrul Judetean Suceava","Consilier superior","Radaseni","Suceava","09.06.2022","Declaraţie de avere"
"Manolache C Petrisor","Parchetul de pe lângă Judecătoria Fălticeni","Grefier","Radaseni","Suceava","15.06.2022","Declaraţie de avere"
"Pintilei Gh. Narcisa","Unitatea Militara 01837","SEF TURA","Radaseni","Suceava","24.05.2022","Declaraţie de avere"
"Gherman G Liliana Lenuta","Judecatoria Falticeni","Grefier arhivar","Radaseni","Suceava","30.05.2022","Declaraţie de avere"
"CONSTANTIN C LENUȚA","Municipiul Falticeni","Referent","Radaseni","Suceava","07.06.2022","Declaraţie de avere"
"TANASA G EUGEN","Ministerul Apararii Nationale","Sef Compartiment","Radaseni","Suceava","09.05.2022","Declaraţie de avere"
"BUHLEA I PAUL","Municipiul Falticeni","Director","Radaseni","Suceava","26.05.2022","Declaraţie de avere"
