"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"MAIOR D MIRCEA","D.R.D.P. Cluj-Sectia de Drumuri Nationale Oradea","SEF DISTRICT","Abramut","Bihor","23.05.2022","Declaraţie de avere"
"Balogh S Istvan-Csabi","Comuna Abram","Consilier local","Abram","Bihor","18.05.2022","Declaraţie de avere"
"Daroczi G Iosif","Comuna Abram","Consilier local","Abram","Bihor","17.05.2022","Declaraţie de avere"
"Duma F Ioana Maria","Comuna Abram","Consilier juridic principal","Abram","Bihor","17.05.2022","Declaraţie de avere"
"Aranici L Angela","Comuna Abram","Inspector superior","Abram","Bihor","16.05.2022","Declaraţie de avere"
"Kiss A Eniko","Comuna Abram","Șef birou","Abram","Bihor","18.05.2022","Declaraţie de avere"
"Pop L Lajos","Comuna Abram","Consilier local","Abram","Bihor","18.05.2022","Declaraţie de avere"
"Gavrilas G Ovidiu","Comuna Abram","Consilier local","Abram","Bihor","19.05.2022","Declaraţie de avere"
"BOBOTAN T DOINA","Colegiul National Octavian Goga","Contabil sef","Abram","Bihor","02.06.2022","Declaraţie de avere"
"Gal I Claudiu Lucian","Alte institutii","Președinte","Abram","Bihor","13.06.2022","Declaraţie de avere"
"KOVACS V MARTA","Comuna Abramut","Consilier local","Abramut","Bihor","14.06.2022","Declaraţie de avere"
"Dat G Lucian Gheorghe","Agentia Nationala De Administrare Fiscala","Inspector","Abramut","Bihor","04.04.2022","Declaraţie de avere"
"CORPAS O MARIUS-FLORIN","Comuna Abramut","Consilier local","Abramut","Bihor","10.06.2022","Declaraţie de avere"
"PUSCAS V LUCIA","Comuna Abramut","Consilier local","Abramut","Bihor","15.06.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Municipiul Marghita","Politist local","Abramut","Bihor","15.06.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Municipiul Marghita","Politist local","Abramut","Bihor","14.04.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Primaria Municipiul Oradea","Politist local","Abramut","Bihor","12.04.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Primaria Municipiul Oradea","Politist local","Abramut","Bihor","28.03.2022","Declaraţie de avere"
"PAPIT A MONICA-CAMELIA","Comuna Abramut","Consilier Asistent","Abramut","Bihor","31.05.2022","Declaraţie de avere"
"FARCAȘ P Florina-Elena","Directia Generala Regionala A Finantelor Publice Cluj-napoca","Consilier superior","Abram","Bihor","17.03.2022","Declaraţie de avere"
"BEBEK G ALINA-ROXANA","Comuna Abramut","Consilier Asistent","Abramut","Bihor","27.05.2022","Declaraţie de avere"
"Nuțaș O Gabriel Octavian","Comuna Abram","Primar","Abram","Bihor","16.05.2022","Declaraţie de avere"
"Karetka L Ildikó","Municipiul Marghita","Inspector","Abramut","Bihor","16.05.2022","Declaraţie de avere"
